+-----------------------------------------------------------------+-----------------------------------------------------------------+------------+-----------------------+
|                                x                                |                                y                                | iterations |          time         |
|             9663391306290450775010025392525829059713            |            15635695580168194910579363790217849593217            |    192     |          0.0          |
|            15635695580168194910579363790217849593217            |            25299086886458645685589389182743678652930            |    193     |          0.0          |
|            25299086886458645685589389182743678652930            |            40934782466626840596168752972961528246147            |    194     |          0.0          |
|            40934782466626840596168752972961528246147            |            66233869353085486281758142155705206899077            |    195     |          0.0          |
|            66233869353085486281758142155705206899077            |            107168651819712326877926895128666735145224           |    196     |          0.0          |
|            107168651819712326877926895128666735145224           |            173402521172797813159685037284371942044301           |    197     |          0.0          |
|            173402521172797813159685037284371942044301           |            280571172992510140037611932413038677189525           |    198     |          0.0          |
|            280571172992510140037611932413038677189525           |            453973694165307953197296969697410619233826           |    199     |  0.000997781753540039 |
|            453973694165307953197296969697410619233826           |            734544867157818093234908902110449296423351           |    200     |          0.0          |
|            734544867157818093234908902110449296423351           |           1188518561323126046432205871807859915657177           |    201     |          0.0          |
|           1188518561323126046432205871807859915657177           |           1923063428480944139667114773918309212080528           |    202     |          0.0          |
|           1923063428480944139667114773918309212080528           |           3111581989804070186099320645726169127737705           |    203     |          0.0          |
|           3111581989804070186099320645726169127737705           |           5034645418285014325766435419644478339818233           |    204     |          0.0          |
|           5034645418285014325766435419644478339818233           |           8146227408089084511865756065370647467555938           |    205     |          0.0          |
|           8146227408089084511865756065370647467555938           |           13180872826374098837632191485015125807374171          |    206     |          0.0          |
|           13180872826374098837632191485015125807374171          |           21327100234463183349497947550385773274930109          |    207     |          0.0          |
|           21327100234463183349497947550385773274930109          |           34507973060837282187130139035400899082304280          |    208     |          0.0          |
|           34507973060837282187130139035400899082304280          |           55835073295300465536628086585786672357234389          |    209     |          0.0          |
|           55835073295300465536628086585786672357234389          |           90343046356137747723758225621187571439538669          |    210     |          0.0          |
|           90343046356137747723758225621187571439538669          |          146178119651438213260386312206974243796773058          |    211     |          0.0          |
|          146178119651438213260386312206974243796773058          |          236521166007575960984144537828161815236311727          |    212     |          0.0          |
|          236521166007575960984144537828161815236311727          |          382699285659014174244530850035136059033084785          |    213     |          0.0          |
|          382699285659014174244530850035136059033084785          |          619220451666590135228675387863297874269396512          |    214     |          0.0          |
|          619220451666590135228675387863297874269396512          |          1001919737325604309473206237898433933302481297         |    215     |          0.0          |
|          1001919737325604309473206237898433933302481297         |          1621140188992194444701881625761731807571877809         |    216     |          0.0          |
|          1621140188992194444701881625761731807571877809         |          2623059926317798754175087863660165740874359106         |    217     |          0.0          |
|          2623059926317798754175087863660165740874359106         |          4244200115309993198876969489421897548446236915         |    218     |          0.0          |
|          4244200115309993198876969489421897548446236915         |          6867260041627791953052057353082063289320596021         |    219     |          0.0          |
|          6867260041627791953052057353082063289320596021         |         11111460156937785151929026842503960837766832936         |    220     | 0.0009980201721191406 |
|         11111460156937785151929026842503960837766832936         |         17978720198565577104981084195586024127087428957         |    221     |          0.0          |
|         17978720198565577104981084195586024127087428957         |         29090180355503362256910111038089984964854261893         |    222     |          0.0          |
|         29090180355503362256910111038089984964854261893         |         47068900554068939361891195233676009091941690850         |    223     |          0.0          |
|         47068900554068939361891195233676009091941690850         |         76159080909572301618801306271765994056795952743         |    224     |          0.0          |
|         76159080909572301618801306271765994056795952743         |         123227981463641240980692501505442003148737643593        |    225     |          0.0          |
|         123227981463641240980692501505442003148737643593        |         199387062373213542599493807777207997205533596336        |    226     |          0.0          |
|         199387062373213542599493807777207997205533596336        |         322615043836854783580186309282650000354271239929        |    227     |          0.0          |
|         322615043836854783580186309282650000354271239929        |         522002106210068326179680117059857997559804836265        |    228     |          0.0          |
|         522002106210068326179680117059857997559804836265        |         844617150046923109759866426342507997914076076194        |    229     |          0.0          |
|         844617150046923109759866426342507997914076076194        |        1366619256256991435939546543402365995473880912459        |    230     |          0.0          |
|        1366619256256991435939546543402365995473880912459        |        2211236406303914545699412969744873993387956988653        |    231     |          0.0          |
|        2211236406303914545699412969744873993387956988653        |        3577855662560905981638959513147239988861837901112        |    232     |          0.0          |
|        3577855662560905981638959513147239988861837901112        |        5789092068864820527338372482892113982249794889765        |    233     |          0.0          |
|        5789092068864820527338372482892113982249794889765        |        9366947731425726508977331996039353971111632790877        |    234     |          0.0          |
|        9366947731425726508977331996039353971111632790877        |        15156039800290547036315704478931467953361427680642       |    235     |          0.0          |
|        15156039800290547036315704478931467953361427680642       |        24522987531716273545293036474970821924473060471519       |    236     |          0.0          |
|        24522987531716273545293036474970821924473060471519       |        39679027332006820581608740953902289877834488152161       |    237     |          0.0          |
|        39679027332006820581608740953902289877834488152161       |        64202014863723094126901777428873111802307548623680       |    238     |          0.0          |
|        64202014863723094126901777428873111802307548623680       |       103881042195729914708510518382775401680142036775841       |    239     |          0.0          |
|       103881042195729914708510518382775401680142036775841       |       168083057059453008835412295811648513482449585399521       |    240     |          0.0          |
|       168083057059453008835412295811648513482449585399521       |       271964099255182923543922814194423915162591622175362       |    241     |          0.0          |
|       271964099255182923543922814194423915162591622175362       |       440047156314635932379335110006072428645041207574883       |    242     | 0.0009970664978027344 |
|       440047156314635932379335110006072428645041207574883       |       712011255569818855923257924200496343807632829750245       |    243     |          0.0          |
|       712011255569818855923257924200496343807632829750245       |       1152058411884454788302593034206568772452674037325128      |    244     |          0.0          |
|       1152058411884454788302593034206568772452674037325128      |       1864069667454273644225850958407065116260306867075373      |    245     |          0.0          |
|       1864069667454273644225850958407065116260306867075373      |       3016128079338728432528443992613633888712980904400501      |    246     |          0.0          |
|       3016128079338728432528443992613633888712980904400501      |       4880197746793002076754294951020699004973287771475874      |    247     |          0.0          |
|       4880197746793002076754294951020699004973287771475874      |       7896325826131730509282738943634332893686268675876375      |    248     |          0.0          |
|       7896325826131730509282738943634332893686268675876375      |      12776523572924732586037033894655031898659556447352249      |    249     |          0.0          |
|      12776523572924732586037033894655031898659556447352249      |      20672849399056463095319772838289364792345825123228624      |    250     |          0.0          |
|      20672849399056463095319772838289364792345825123228624      |      33449372971981195681356806732944396691005381570580873      |    251     |          0.0          |
|      33449372971981195681356806732944396691005381570580873      |      54122222371037658776676579571233761483351206693809497      |    252     | 0.0009980201721191406 |
|      54122222371037658776676579571233761483351206693809497      |      87571595343018854458033386304178158174356588264390370      |    253     |          0.0          |
|      87571595343018854458033386304178158174356588264390370      |      141693817714056513234709965875411919657707794958199867     |    254     |          0.0          |
|      141693817714056513234709965875411919657707794958199867     |      229265413057075367692743352179590077832064383222590237     |    255     |          0.0          |
|      229265413057075367692743352179590077832064383222590237     |      370959230771131880927453318055001997489772178180790104     |    256     |          0.0          |
|      370959230771131880927453318055001997489772178180790104     |      600224643828207248620196670234592075321836561403380341     |    257     |          0.0          |
|      600224643828207248620196670234592075321836561403380341     |      971183874599339129547649988289594072811608739584170445     |    258     |          0.0          |
|      971183874599339129547649988289594072811608739584170445     |     1571408518427546378167846658524186148133445300987550786     |    259     |          0.0          |
|     1571408518427546378167846658524186148133445300987550786     |     2542592393026885507715496646813780220945054040571721231     |    260     |          0.0          |
|     2542592393026885507715496646813780220945054040571721231     |     4114000911454431885883343305337966369078499341559272017     |    261     |          0.0          |
|     4114000911454431885883343305337966369078499341559272017     |     6656593304481317393598839952151746590023553382130993248     |    262     |          0.0          |
